ID;descrizione;prezzo;data_ins_prezzo;fornitore;settore
96;Antenna per contenitore metallico Absoluta ABS-M -cod. PFNACBL3ABS-AM;7,75;27/10/2017;bentel;allarme
97;Contenitore plastico per BGSM-100/120 -cod. PFNCPBL0BGSM12BX;28;27/10/2017;bentel;allarme
98;Sirena autoalimentata per uso esterno. -cod. PFNSRBL1LADY-PI;46;27/10/2017;bentel;allarme
99;Sirena autoalimentata per uso esterno con antischiuma. -cod. PFNSRBL1LADYFPI;59,25;27/10/2017;bentel;allarme
100;Sirena autoalimentata con antischiuma e lampeggiatore strobo. -cod. PFNSRBL1LADYFS;74;27/10/2017;bentel;allarme
101;Kit plastico sirena Lady. -cod. PFNKTBL3LADYK;15,9;27/10/2017;bentel;allarme
102;Sirena autoalimentata per uso esterno. -cod. PFNSRBL1CALL-PI;45;27/10/2017;bentel;allarme
103;Sirena Autoalimentata per Esterno Verniciata SILVER -cod. PFNSRBL1CALL-SV;57,5;27/10/2017;bentel;allarme
104;Sirena Autoalimentata per Esterno Verniciata BRONZO -cod. PFNSRBL1CALL-BR;57,5;27/10/2017;bentel;allarme
105;Sirena autoalimentata per uso esterno con antischiuma. -cod. PFNSRBL1CALLFPI;57;27/10/2017;bentel;allarme
106;Sirena 12 V bianca da interno con strobo. - cod. PFNSRBL2WAVE-WS;20,25;27/10/2017;bentel;allarme
107;Sirena 12 V bianca da interno autoalimentata con strobo. - cod. PFNSRBL2WAVE-WSB;32,25;27/10/2017;bentel;allarme
108;Rilevatore PIR Mod .A Immunità Animali domestici - cod. PFNRABL3BMD501;9,75;27/10/2017;bentel;allarme
109;"Rilevatore Doppia Tecnologia Mod. A Antimascheramento & MW
10.525 - cod. PFNRABL3BMD503";31,35;27/10/2017;bentel;allarme
110;"Rilevatore Doppia Tecnologia Mod. con Immunità Animali
domestici - cod. PFNRABL3BMD504";26,1;27/10/2017;bentel;allarme
111;Alimentatore switching da 1,5A per Absoluta e Kyo Unit - cod. PFNALBL3BAQ15;16,25;27/10/2017;bentel;allarme
112;Alimentatore switching da 2,6A - cod. PFNALBL3BAW35T12;26,75;27/10/2017;bentel;allarme
113;Alimentatore switching da 3,6A - cod. PFNALBL3BAW50T12;31,75;27/10/2017;bentel;allarme
114;Alimentatore switching da 5,4A - cod. PFNALBL3BAW75T12;41,75;27/10/2017;bentel;allarme
115;* Sensore tenda doppia tecnologia per porte e finestre;45,5;03/11/2017;Sonepar;Allarme
116;Termocamino Jollymec modello Foghet Evo Idro 15-18 Kw pellet/legna cod. FOG/EVO/PEL/SS;4614;29/11/2017;JOLLYMEC;TERMOCAMAMINO
117;Modulo  940 mm doppia parete d. 150;86,9;29/11/2017;Italfum;Tubazioni da fumo
118;Dosatore Polifosfati;107,69;06/12/2017;;
119;Defangatore;92,3;07/02/2020;;
120;Super kariba cassetta duo esterna PVC;49,7;24/01/2018;Bertani;bagni
121;cosmogas Kit basamento novadens cod. 62660026;126,36;19/01/2023;Nuova sirt;caldaie
122;Cosmogas Prolunga  60-100 coassiale esterno in acciaio smaltato bianco in pp 1 metro cod. 62617231;40,50;19/01/2023;Nuova sirt;Caldaie
123;Cosmogas Raccordo  60-100  coassiale per scarico vert. Esterno cod. 62617224;47,52;31/03/2025;nuova sirt;caldaie
124;Cosmogas terminale scarico fumi a tetto completa di conversa 60-100 ( sono n.2 codici) cod. 62617255 cod. 62617304;131,22;19/01/2023;nuova sirt;caldaie
125;Kit solare 2 pannelli verticali + bollitore 300lt doppio serpentino + 10 tubo solare + raccordi per bollitore rif Sunerg KIT_N302/B  -p.21 solo materiale;2000;20/03/2018;Sunerg;solare
126;Manodopera montaggio impianto solare tipo standar 300lt, 2 pannelli  2Per-2GG;1000;20/03/2018;Dap;manopera
127;DAP (R30) bagno n. 4 attachi Wc, budet, lavababo, pred. Doccia escluso bragha;615,38;14/05/2018;DAP;bagni
128;DAP (R30) bagno n. 4-1/2 attachi Wc, budet, lavabo, pred. Doccia+lavatrice escluso braga;692,33;14/05/2018;DAP;Bagni
129;DAP (R30) Bagno nuovo attaco termoarreda da termo esistente;153,85;14/05/2018;DAP;Bagni
130;DAP (R30) bagno n. 3 attachi Wc, budet, lavabo escluso braga;461,55;14/05/2018;DAP;Bagni
131;DAP (R30) bagno spostamento semplice bragha WC 2ore + €.50 materiale;153,85;14/05/2018;DAP;Bagni
132;---------------------------------------------------;0;14/05/2018;----;---
133;Condizionatore Daikin Unità esterna 2MXM50M/M9 R32 dual split;958,55;15/05/2018;Unicom;Condizionatore
134;Condizionatore Daikin unità esterna 3MXM52M R32 tral split;1320;15/05/2018;Unicom;Condizionatore
135;Condizionatore Daikin unità interna FTXM25M R32;272,49;15/05/2018;Unicom;condizionatore
136;Condizionatore Daikin Unità interna FTXM35M R32;314,68;15/05/2018;Unicom;condizionatore
137;Condizionatore Daikin Unità esterna 2MXM40M R32 dual split;802,25;15/05/2018;Unicom;Condizionatore
138;Condizionatore Daikin Unità esterna 3MXM68M/N R32 trial split;1588;17/05/2018;Unicom;Condizionatore
139;Condizionatore Daikin Unità esterna 3MXM40M/N R32 trial split;1123,15;17/05/2018;Unicom;Condizionatore
140;Raccordo per canalina intesa clima 75mm;5;05/06/2018;Bertani;Condizionatore
141;Condizionatore Daikin monosplit FTXM35M  UE+UI A+++/A+++;816;08/06/2018;Unicom;Condizionatore
142;Condizionatore Daikin monosplit FTXM42M  UE+UI A+++/A++;1002;08/06/2018;Unicom;Condizionatore
143;Condizionatore Daikin monosplit FTXP25L  UE+UI A+++/A++ novita 2018;593;08/06/2018;Unicom;Condizionatore
144;Condizionatore Daikin monosplit FTXP35L  UE+UI A+++/A++ novita 2018;704;08/06/2018;Unicom;Condizionatore
145;Condizionatore Daikin monosplit FTXP50L  UE+UI A++/A+ novita 2018;1014;08/06/2018;Unicom;Condizionatore
146;Caldaia Cosmogas modello Novadens 34 B art. 112905508 tramite boiler (escluso boiler);1925,64;06/04/2022;Nuova Sirt;Caldaia
147;Caldaia Cosmogas modello Mydens 34 B art. 1A7900008 tramite boiler (escluso boiler);1636,20;19/01/2023;Nuova Sirt;Caldaia
148;Box Doccia 80x120 Sam parete fissa - Sam porta 3A America;380,65;15/06/2018;Nuova sirt;sanitari
149;Miscelatore lavabo Apollo 3;29,64;15/06/2018;Nuova Sirt;Rubinetteria
150;Miscelatore bidet Apollo 3;29,64;15/06/2018;Nuova Sirt;Rubinetteria
151;Asta saliscendi Ischia;29,25;15/06/2018;Nuova Sirt;Rubinetteria
152;Miscelatore doccia incasso Apollo 3;19,35;15/06/2018;Nuova Sirt;Rubinetteria
153;Miscelatore doccia incasso SLY;24,55;15/06/2018;Nuova Sirt;Rubinetteria
154;Addolcitore North Star NSC 17 UD (Indicato per 3 persone);822,8;19/06/2018;Stema;Addolcitori
155;Filtro Cosmo 2 pulente manuale con scarico antigocciolamento cartuccia inox 90 micron e spazzolatura;88;19/06/2018;Stema;addolcitori
156;Condizionatore Mitsubishi MUZ-AP25VG unità esterna monosplit;422,96;22/02/2019;Unicom;Condizionatori
157;COMBIFIX ITALIA X VASO SOSP.SIGMA 110790   GEBERIT INCASSO;145;27/02/2019;NUOVA SIRT;SANITARI
158;COMBIFIX ITALIA BIDET SOSP.457.608.00.5  INCASSO GEBERIT;85;27/02/2019;NUOVA SIRT;SANITARI
159;Protettivo alta temperatura cod. 18063256 Mobildeno MYK32 Prezzo al litro;31,5;12/06/2019;Nuova Sirt;Protettivo
160;Curva coassiale 90° d. 60/100 terminale cod. 62617254 per Novadens;44,82;19/01/2023;nuova sirt;fumisteria
161;Prolunga d. 60/100 coassiale 1000 mm cod. 62617231;40,50;19/01/2023;nuova sirt;fumisteria
162;;;;;
163;Caldaia Sime Uniqa Revolution;1290;26/02/2020;Nuova Sirt;caldaia
164;;;;;
165;Caldaia Immergas Vitrix zeus 32 ERP;1572,51;04/08/2020;Cambielli;Caldaia
166;Lavaggio impianto per appartamento 60-100mt;461,54;09/04/2025;Dap;Idro
167;Raccorderia in ottone, accessori montaggio (unita da €.50,00);38,462;14/12/2020;Dap;Idro
168;Noleggio piattaforma per 1 giorno;192,31;14/12/2020;Blackout;Noleggi
169;Cosmogas cronocomando CR04 art. 62101070;208,44;19/01/2023;Nuova sirt;accessori
170;Caldaia Cosmogas Novadens 34C cod. 11590055080000 SOLO RISCALDAMENTO;2005,56;19/01/2023;nuova sirt;caldaia
171;Caldaia Cosmogas Mydens 34 C cod. 1A8900008 SOLO RISCALDAMENTO;1625,40;19/01/2023;Nuova Sirt;caldaia
172;Caldaia marca Sime modello Vera HE 25 istantanea;790,80;06/06/2024;nuova sirt;caldaia
173;Cronotermostato Dimmi per Novadens cod. 63501071;221,94;19/01/2023;Nuova sirt;caldaia accessori
174;Caldaia a condensazione Cosmogas Mydens 24B articolo 1A7500008;1491,48;19/01/2023;Nuova Sirt;caldaia
175;Caldaia Cosmogas Cielodens 24P cod. 110005908;1861,38;19/01/2023;Nuova Sirt;caldaia
176;Scambiatore a piastre;390;26/01/2024;nuova sirt;caldaia
177;Immergas Vitrix tera 24;776,50;28/03/2023;bertani;caldaia
178;Curva m.f. 45° d. 60 cod. 62617257;14,04;16/10/2023;nuova sirt;caldaia
179;Circolatore Dab 230 Evosta 3 230V;174;26/01/2024;nuova sirt;caldaia
180;"Dab coppia bocca ghisa 1""1/21"" F";11,84;26/01/2024;nuova sirt;caldaia
181;Vaso espansione 24 lt;50;26/01/2024;;caldaia
183;curva coassiale  90° d. 60/100 cod. 62617234;29,70;05/07/2024;cosmogas;tubazioni
184;curva coassiale 90° d. 60/100 terminale per Novadens cod. 62617254;44,82;05/07/2024;cosmogas;tubazioni
185;curva coassiale m.f. 45° d. 60/100 cod. 62617252;32,94;05/07/2024;cosmogas;tubazioni
186;Prolunga 60/100 coassiale 1000 mm cod. 62617231;40,50;05/07/2024;cosmogas;tubazioni
187;Raccordo d. 60/100 coassiale cod. 62617224;47,52;31/03/2025;cosmogas;tubazioni
188;Prolunga m.f. in polipropilene d. 60 1000mm cod. 62617261;18,14;05/07/2024;cosmogas;tubazioni
189;Prolunga m.f. in polipropilene d. 60 500mm cod. 62617283;13,39;05/07/2024;cosmogas;tubazioni
190;curva m.f. 90° in polipropilene d. 60 cod. 62617259;14,04;05/07/2024;cosmogas;tubazioni
191;curva m.f. 45° in polipropilene d. 60 cod. 62617257;14,04;05/07/2024;cosmogas;tubazioni
192;Dimmi cronotermostato modulante wifi cod. 63501070;208,44;05/07/2024;cosmogas;accessori
193;Caldaia  Immergas Victrix Zeus 32 con bollitore 45 litri;1811,50;19/09/2024;bertani;caldaia
194;Caldaia Cosmogas Novaplus   24K con microaccumulo cod. 111005608;2040,12;05/11/2024;nuova sirt;caldaia
195;Caldaia Cosmogas Novaplus 34K con microaccumulo cod. 111905608;2237,22;16/12/2024;Nuova sirt;caldaia
196;Caldaia Cosmogas Myplus 24 P (1G5500008) istantanea;1556,82;31/03/2025;Nuova sirt;caldaia
197;Caldaia Cosmogas MyPlus 34P (1G5900008) istantanea;1770,12;31/03/2025;Nuova sirt;caldaia
198;Caldaia Cosmogas Myplus 24B (1G6500008) bollitore non incluso;1563,30;31/03/2025;Nuova sirt;caldaia
199;Caldaia Cosmogas Myplus 34B ( 1G6900008) bollitore non incluso;1718,28;31/03/2025;Nuova Sirt;caldaia
200;Cronocomando evoluto wifi comando cod. 63501144 per Myplus Cosmogas;252,18;31/03/2025;Nuova sirt;caldaia
201;manodopera montaggio caldaia a condensazione 24 ore;800;31/03/2025;DAP;caldaia
